movie_title;release_date;genre
Pooh's Heffalump Movie;2005-02-11;Adventure
The Pacifier;2005-03-04;Comedy
Ice Princess;2005-03-18;Comedy
A Lot Like Love;2005-04-22;Comedy
The Hitchhiker's Guide to the Galaxy;2005-04-29;Comedy
Hauru no ugoku shiro;2005-06-10;Adventure
Herbie: Fully Loaded;2005-06-22;Comedy
Dark Water;2005-07-08;Thriller/Suspense
Sky High;2005-07-29;Adventure
Valiant;2005-08-19;Adventure
Flightplan;2005-09-23;Thriller/Suspense
The Greatest Game Ever Played;2005-09-30;Drama
Shopgirl;2005-10-21;Drama
Chicken Little;2005-11-04;Adventure
The Chronicles of Narnia: The Lion, t…;2005-12-09;Adventure
Casanova;2005-12-25;Drama
Glory Road;2006-01-13;Drama
Annapolis;2006-01-27;Drama
Roving Mars;2006-01-27;Documentary
Eight Below;2006-02-17;Adventure
The Shaggy Dog;2006-03-10;Comedy
Stay Alive;2006-03-24;Horror
The Wild;2006-04-14;Adventure
Stick It;2006-04-28;Comedy
Goal! The Dream Begins;2006-05-12;Drama
Cars;2006-06-09;Comedy
Pirates of the Caribbean: Dead Man’…;2006-07-07;Adventure
Step Up;2006-08-11;Drama
Invincible;2006-08-25;Drama
The Guardian;2006-09-29;Action
The Prestige;2006-10-20;Thriller/Suspense
Tim Burton's The Nightmare Before Chr…;2006-10-20;Musical
The Santa Clause 3: The Escape Clause;2006-11-03;Comedy
Déjà Vu;2006-11-22;Thriller/Suspense
Apocalypto;2006-12-08;Adventure
Primeval;2007-01-12;Adventure
Bridge to Terabithia;2007-02-16;Drama
Wild Hogs;2007-03-02;Comedy
Meet the Robinsons;2007-03-30;Adventure
The Lookout;2007-03-30;Drama
The Hoax;2007-04-06;Drama
The Invisible;2007-04-27;Thriller/Suspense
Pirates of the Caribbean: At World’…;2007-05-24;Adventure
Ratatouille;2007-06-29;Comedy
Underdog;2007-08-03;Adventure
The Game Plan;2007-09-22;Comedy
Dan in Real Life;2007-10-20;Romantic Comedy
Enchanted;2007-11-21;Romantic Comedy
National Treasure 2: Book of Secrets;2007-12-21;Adventure
Hannah Montana/Miley Cyrus: Best of B…;2008-02-01;Concert/Performance
Step Up 2 the Streets;2008-02-14;Drama
College Road Trip;2008-03-07;Comedy
The Chronicles of Narnia: Prince Caspian;2008-05-16;Adventure
WALL-E;2008-06-27;Adventure
Swing Vote;2008-08-01;Comedy
Goal! 2: Living the Dream...;2008-08-29;Drama
Miracle at St. Anna;2008-09-26;Drama
Beverly Hills Chihuahua;2008-10-03;Comedy
Morning Light;2008-10-17;Documentary
High School Musical 3: Senior Year;2008-10-24;Musical
Bolt;2008-11-21;Comedy
Bedtime Stories;2008-12-25;Comedy
Confessions of a Shopaholic;2009-02-13;Romantic Comedy
Jonas Brothers: The 3D Concert Experi…;2009-02-27;Concert/Performance
Race to Witch Mountain;2009-03-13;Adventure
Hannah Montana the Movie;2009-04-10;Drama
Earth;2009-04-22;Documentary
Up;2009-05-29;Adventure
The Proposal;2009-06-19;Romantic Comedy
G-Force;2009-07-24;Adventure
Gake no ue no Ponyo;2009-08-14;Adventure
X Games 3D: The Movie;2009-08-21;Documentary
Walt and El Grupo;2009-09-10;Documentary
Surrogates;2009-09-25;Action
Toy Story 3D Double Feature;2009-10-02;Adventure
Disney's A Christmas Carol;2009-11-06;Drama
The Princess and the Frog;2009-11-25;Adventure
Old Dogs;2009-11-25;Comedy
When in Rome;2010-01-29;Romantic Comedy
Alice in Wonderland;2010-03-05;Adventure
Waking Sleeping Beauty;2010-03-26;Documentary
The Last Song;2010-03-31;Drama
Oceans;2010-04-22;Documentary
Prince of Persia: Sands of Time;2010-05-28;Action
Toy Story 3;2010-06-18;Adventure
The Sorcerer's Apprentice;2010-07-14;Adventure
Step Up 3D;2010-08-06;Drama
Gedo Senki (Tales from Earthsea);2010-08-13;Adventure
You Again;2010-09-24;Comedy
Secretariat;2010-10-08;Drama
Tangled;2010-11-24;Adventure
Tron: Legacy;2010-12-17;Adventure
Gnomeo and Juliet;2011-02-11;Comedy
I am Number Four;2011-02-18;Adventure
Mars Needs Moms;2011-03-11;Adventure
African Cats;2011-04-22;Documentary
Zokkomon;2011-04-22;Adventure
Prom;2011-04-29;Comedy
Pirates of the Caribbean: On Stranger…;2011-05-20;Adventure
Cars 2;2011-06-24;Adventure
Winnie the Pooh;2011-07-15;Adventure
The Help;2011-08-10;Drama
Fright Night;2011-08-19;Horror
Real Steel;2011-10-07;Action
The Muppets;2011-11-23;Comedy
War Horse;2011-12-25;Drama
The Secret World of Arietty;2012-02-17;Adventure
John Carter;2012-03-09;Adventure
Chimpanzee;2012-04-20;Documentary
The Avengers;2012-05-04;Action
Brave;2012-06-22;Adventure
People Like Us;2012-06-29;Drama
The Odd Life of Timothy Green;2012-08-15;Drama
Frankenweenie;2012-10-05;Comedy
Wreck-It Ralph;2012-11-02;Adventure
Lincoln;2012-11-09;Drama
Oz the Great and Powerful;2013-03-08;Adventure
Iron Man 3;2013-05-03;Action
Monsters University;2013-06-21;Adventure
The Lone Ranger;2013-07-02;Western
Disney Planes;2013-08-09;Comedy
The Fifth Estate;2013-10-18;Drama
Thor: The Dark World;2013-11-08;Adventure
Kaze Tachinu;2013-11-08;Drama
Frozen;2013-11-22;Adventure
Delivery Man;2013-11-22;Comedy
Saving Mr. Banks;2013-12-13;Drama
Need for Speed;2014-03-14;Action
Muppets Most Wanted;2014-03-21;Comedy
Captain America: The Winter Soldier;2014-04-04;Action
Bears;2014-04-18;Documentary
Million Dollar Arm;2014-05-10;Drama
Maleficent;2014-05-30;Adventure
Planes: Fire and Rescue;2014-07-18;Adventure
Guardians of the Galaxy;2014-08-01;Adventure
The Hundred-Foot Journey;2014-08-08;Romantic Comedy
Alexander and the Terrible, Horrible,…;2014-10-10;Comedy
Big Hero 6;2014-11-07;Adventure
Into the Woods;2014-12-25;Musical
Strange Magic;2015-01-23;Adventure
McFarland, USA;2015-02-20;Drama
Cinderella;2015-03-13;Drama
Monkey Kingdom;2015-04-17;Documentary
Avengers: Age of Ultron;2015-05-01;Action
Tomorrowland;2015-05-22;Adventure
Inside Out;2015-06-19;Adventure
Ant-Man;2015-07-17;Action
Bridge of Spies;2015-10-16;Thriller/Suspense
The Good Dinosaur;2015-11-25;Adventure
Star Wars Ep. VII: The Force Awakens;2015-12-18;Adventure
The Finest Hours;2016-01-29;Thriller/Suspense
Zootopia;2016-03-04;Adventure
The Jungle Book;2016-04-15;Adventure
A Beautiful Planet;2016-04-29;Documentary
Captain America: Civil War;2016-05-06;Action
Alice Through the Looking Glass;2016-05-27;Adventure
Finding Dory;2016-06-17;Adventure
The BFG;2016-07-01;Adventure
Pete’s Dragon;2016-08-12;Adventure
The Light Between Oceans;2016-09-02;Drama
Queen of Katwe;2016-09-23;Drama
Doctor Strange;2016-11-04;Adventure
Moana;2016-11-23;Adventure
Rogue One: A Star Wars Story;2016-12-16;Adventure
